cleaned_review,standardized_date,cleaned_rating,Restaurant,Address,sentiment_score,sentiment
ate dinner here the other night got the stubbs minor plate with brisket and sausage brisket was a little cold and mostly fat my server was very friendly and knowledgeable as well as the rest of the staff i interacted with wish the food was a little better but ill definitely try this place again,2024-09-18,4.3,Stubb's Bar-B-Q,"801 Red River St, Austin, TX 78701, USA",0.6903,Positive
hey so we stopped at stubbs barbq and it was totally worth it the place has a really cool vibe the restaurant and a small bar are on the first floor and then downstairs they have a concert area and another bar the staff was super friendly and quick with our orders the food was amazing we got the pulled pork sandwich with mac and cheese and fries on the side the mac and cheese was bomb we also ordered the threemeat sampler with brisket pulled pork and ribs the ribs were my favorite we also got some cornbread and fried okra which were both really good well definitely be going back,2024-08-17,4.3,Stubb's Bar-B-Q,"801 Red River St, Austin, TX 78701, USA",0.9676,Positive
i went for lunch alone it was not crowded around 12pm but it was getting busier after 1230pm i am not much a fan of red meat take my review as a grain of salt i ordered ribs it was tender but a little bit salty to me i usually eat plain fried okra was good not too dry this place is good for family hangout they have many big tables and great deal for a group i heard they have evening show is hosted at basement everyone is friendly and attentive,2024-03-30,4.3,Stubb's Bar-B-Q,"801 Red River St, Austin, TX 78701, USA",0.9494,Positive
parking was difficult to find along the road and some guy came up to ask for money while we were unloading  we had to wait about 20 mins downstairs for our table which ended up fine because we were able to explore a couple of their music stages down there  the service staff were friendly and the atmosphere felt historical or old in some way  the food was good though pricey heavy and a bit greasy  not sure wed come back next time around,2024-04-18,4.3,Stubb's Bar-B-Q,"801 Red River St, Austin, TX 78701, USA",0.5327,Positive
the place is laid back almost like a time warp back to simpler times food is good but getting parking can be a bit of a hassle so plan accordingly staff is great and attentive ask for bathroom directions as you walk in and you wont get lost they can just point it out to you they are in the basement and you have to make many turns to get there,2024-04-10,4.3,Stubb's Bar-B-Q,"801 Red River St, Austin, TX 78701, USA",0.8921,Positive
delicious food friendly service massive quantity i finished a fourth of the plate we had the pork chop chicken  waffles old fashioned shrimp corn dogs corn bread popcorn the food was amazing there is an outside area with fans and mist for hot days,2024-09-25,4.6,Moonshine Grill,"303 Red River St, Austin, TX 78701, USA",0.8934,Positive
loved the atmosphere as it was in an old house on a nondescript street in austin texas service was great attentive but not over bearing the food id say the food vibe is elevated comfort foodwas good but not delicious my favorite thing was the free popcorn they bring to your table quite tasty my cocktail a blind mule was quite yummy i would go back but i wouldnt rush back,2024-07-09,4.6,Moonshine Grill,"303 Red River St, Austin, TX 78701, USA",0.8962,Positive
i was visiting austin with my friend and we went here 3 times during our 4 day stay so it is safe to say that we thoroughly loved it here the food service and atmosphere were all excellent i loved the unique touch of having complimentary popcorn during our visits we tried the hangar steak rainbow trout blackened catfish pork ribs and chicken almondine every dish was a hit all of the staff were amazing but especially cassie who had excellent recommendations to really sell the menu it was great to see the staff helping each other out and making the service so seamless they also offered a complimentary dessert to celebrate my friends birthday,2024-08-15,4.6,Moonshine Grill,"303 Red River St, Austin, TX 78701, USA",0.9916,Positive
went for two different mixers and the portions were huge i got the pork ribs and it was a lot in a great way the corn dog shrimp is genius sweet potato tots were great loved the key lime pie,2024-08-12,4.6,Moonshine Grill,"303 Red River St, Austin, TX 78701, USA",0.9545,Positive
weve been to their avery location but never the original one downtown here we are in the patio bar area the guys there charles and sean were so nice it was me and my husbands wedding anniversary they made it such a pleasant experience i had the rainbow trout and he had the pork chop super tasty it was about a 25min wait upstairs so we just ate at the bar there its in a historic building gorgeous old features and hardwood floors would definitely recommend,2024-08-13,4.6,Moonshine Grill,"303 Red River St, Austin, TX 78701, USA",0.981,Positive
"feelgood tunes and balanced mix of open air and air conditioned seating available we came toward the end of the night and were seated inside right away happy hour is from 430  630 pm daily and can get busy our server tarah was exceptional and recommended the daily special which was from spain and was the most lean and tender pork seared to perfection we tried some of their classics as well deviled eggs duck fat fries biscuits and werent disappointed cocktails were refreshing too particularly in to the wild similar to a cherry limeade and the mocktail veto mango fizz
they do not offer a military discount they have a parking lot and street parking well be back again and bringing friends",2024-08-10,4.6,Salty Sow,"1917 Manor Rd, Austin, TX 78722, USA",0.9528,Positive
"the appetizers were my favorite im torn between the truffled deviled eggs and duck fat fries the biscuit has the best airy butter too for the main we got pork belly tips with cheese grits that had a great flavor we sat outside with our dog and they were all so sweet to her
and they had some great wine options too",2024-08-31,4.6,Salty Sow,"1917 Manor Rd, Austin, TX 78722, USA",0.9491,Positive
yall this food is delicious ive been going to salty sow for years and it never disappoints everything tastes so good and is consistently one of the best meals ive ever had in austin tonight i got it delivered and was so impressed that the quality of the food held up they even managed to still have decent presentation with sustainable packaging for delivery,2024-07-23,4.6,Salty Sow,"1917 Manor Rd, Austin, TX 78722, USA",0.9572,Positive
the redfish is especially good enough to justify a double serving  everything came with hearty portions and was very flavourful the sides especially the brussels stood out for starters the french fries and the chicken pate were excellent and the main courses paired very well with the biscuits the atmosphere was warm and welcoming much like the food,2024-08-16,4.6,Salty Sow,"1917 Manor Rd, Austin, TX 78722, USA",0.9391,Positive
"salty sow is a really nice place with a beautiful decor that make you feel super relaxed we went during happy hour and it was crowded with people constantly coming in which is a great sign we didnt have to wait long to be seated and once we were the service was friendly and super quick

happy hour dishes were really tasty though the portions were a bit small overall it was a good experience",2024-03-26,4.6,Salty Sow,"1917 Manor Rd, Austin, TX 78722, USA",0.9887,Positive
violet crown cinema is an iconic and unique escape in downtown austin offering a clean and cozy atmosphere perfect for quality films the incredibly friendly bartender crafted a solid spicy margarita adding to the delightful experience with good parking options and validation convenience is a plus while theres always room for a bit more magic its definitely a mustvisit for film enthusiasts,2024-07-20,4.5,Violet Crown Cinema,"434 W 2nd St, Austin, TX 78701, USA",0.9728,Positive
its been a while since ive been here but i went last night good drink selection used to have better soft drinks now its just coke products boo pizza is new and thats nice good theatre setup very modern but somewhat spartan im okay with that they show more interesting films than mainstream theatres,2024-09-25,4.5,Violet Crown Cinema,"434 W 2nd St, Austin, TX 78701, USA",0.969,Positive
a cool and funky small theater in west downtown near a bunch of good restaurants they tend to have a good selection of eclectic films and it is generally not busy during the day on weekdays they provide 4 hours of free parking,2024-08-28,4.5,Violet Crown Cinema,"434 W 2nd St, Austin, TX 78701, USA",0.875,Positive
my favorite movie theater in town small theaters with comfortable seats great staff cocktails and lounge limited kitchen great place to see arts movies and the latest releases in a cool environment on a hot day order tickets online park free in garage always a treat,2023-07-08,4.5,Violet Crown Cinema,"434 W 2nd St, Austin, TX 78701, USA",0.9678,Positive
great venue for those interested in independent movies an amazing modern and cozy environment their food is great and have a good selection of wine beer and cocktails the only issue i have is that they dont bring food to your seat you can only buy it beforehand and bring it in,2022-09-17,4.5,Violet Crown Cinema,"434 W 2nd St, Austin, TX 78701, USA",0.9559,Positive
this place has an authentic austin feel mix of western and modern the staff is very friendly and professional the food is all great havent had a dish i didnt like we had the queso hanger steak and beef brisket all very juicy and full of flavor the drinks are good too  not a bunch of crushed ice you actually get alcohol they have live music upstairs,2024-09-26,4.4,Lamberts,"401 W 2nd St, Austin, TX 78701, USA",0.8937,Positive
i enjoyyyyedd so much going to lamberts for my first meal in austin i found the place a little bit by chance and i was highly satisfied by the service i was taken care of by will i loved his energy and professionalism food was also great i had the 3 meats plate it was heavy  as expected  i also had an old fashion that i liked very much would definitely recommend ,2024-08-28,4.4,Lamberts,"401 W 2nd St, Austin, TX 78701, USA",0.9761,Positive
"i loved lamberts lunch of brisket sandwich and cashew lime coleslaw each of the few ingredients of the sandwich are harmonies without seeming overwrought both their red and mustard sauces are an excellent compliment to their brisket without insisting on themselves
after lamberts its fun to visit toy joy to shop joes for coffee or the riverside trail to walk off your meal",2024-09-08,4.4,Lamberts,"401 W 2nd St, Austin, TX 78701, USA",0.9643,Positive
"miami resident and huge bbq fan also come to austin often

miami friends recommended and boy were they right

amazing brisket and mac and cheese

highly recommend",2024-09-17,4.4,Lamberts,"401 W 2nd St, Austin, TX 78701, USA",0.9336,Positive
"lamberts is a great barbecue place if you are in the area the crispy wild boar ribs wer6e very flavorful and had somewhat of an asian influence i would definitely highly recommend this appetizer to start with i had the two meat plate which i would say is good the brisket was lean meaty and somewhat tender if youre looking for extra moist brisket this is not it however the flavor was good and the sides that i got were collard greens and coleslaw both of these sides were not bad

i really enjoyed that the table came with three different sauces my favorite probably was the mustard and then the hot and then the house i saw some of my coworkers really lather their barbecue with the house sauce so that might say something about it it was a little bit vinegary for me however thats not a bad thing

i would say that if youre in the area and craving bbq this is not a bad place to go with me living up north i would not make a specific trip to come here as it would be a little bit out of my way",2024-04-12,4.4,Lamberts,"401 W 2nd St, Austin, TX 78701, USA",0.972,Positive
vibe check and its perfect happy eclectic full house and the best salsa  the food was good i loved the service they were kind enough to suggest great vegetarian options the live music is scheduled few days a week and its must drink options are great especially margaritas,2024-08-30,4.2,Güero's Taco Bar,"1412 S Congress Ave, Austin, TX 78704, USA",0.9849,Positive
"very delicious food the mole enchiladas were awesome  fajita salad was well served and delicious margaritas were tasty and the salsas were very good my favorite while in austin

the flautas are classics and delicious as well so many delicious choices to choose from and never disappoints

cant wait to go back again for this special treat",2024-06-15,4.2,Güero's Taco Bar,"1412 S Congress Ave, Austin, TX 78704, USA",0.9897,Positive
"this place was great we read that sometimes people can wait hours for a table but we were able to show up and get seated right away

the free chips and assortment of salsas was great as well as the meal itself oh and dont forget the margarita",2024-06-07,4.2,Güero's Taco Bar,"1412 S Congress Ave, Austin, TX 78704, USA",0.9538,Positive
a charming destination for dinner offering a plethora of options particularly for enthusiasts of mexican cuisine the staff is warm and welcoming creating a delightful atmosphere our experience indulging in the flavorsome tacos and tamales left us thoroughly satisfied,2024-03-31,4.2,Güero's Taco Bar,"1412 S Congress Ave, Austin, TX 78704, USA",0.9605,Positive
great service courteous and professional food hot and fast beer cold great vibes the girls from deathproof would approve,2024-09-27,4.2,Güero's Taco Bar,"1412 S Congress Ave, Austin, TX 78704, USA",0.91,Positive
we knew about uchi because its supposed to be the best restaurant in austin a special occasion came up so we visited on a saturday night i am pleased to report it blew us away its rare to have an eating experience unlike any youve had before the dishes were perfectly prepared  particularly the sauces what stood out most to me were the flavors exquisitely crafted and balanced im not a big raw fish fan but i enjoyed everything i ate the service was also quite good we mentioned our special occasion and the server brought us a really good trout dish on the house complimentary valet parking was nice too definitely will be going back and couldnt be happier with our experience,2024-09-29,4.7,Uchi Austin,"801 S Lamar Blvd, Austin, TX 78704, USA",0.9873,Positive
great interesting sushi and japanese inspired dishes very flavorful beautiful presentations excellent na and alcoholic drinks our server stephanie was a blast great date night,2024-09-24,4.7,Uchi Austin,"801 S Lamar Blvd, Austin, TX 78704, USA",0.9719,Positive
always a complete pleasure eating here   service and atmosphere are as expected   the food never disappoints   my cold sake was creamy and refreshing   the wagyu carpacio is delicious  i tried all three of the market selection and all 3 were amazing   the grilled fish appetizer is stupid good  with perfect texture and flavor   the scallop bites are always super fresh and bright  the tuna hand roll bursts with flavor   the cesar hand roll is so underrated  so delicious   ill enjoy many more happy hours here,2024-08-31,4.7,Uchi Austin,"801 S Lamar Blvd, Austin, TX 78704, USA",0.9907,Positive
"im not from austin and almost everyone i asked for restaurant recommendations suggested this place i wasnt really sure what to expect so i went for happy hour to catch the vibe ended up ordering maybe 15 dishes incredible quality dont think ive had sashimi this good anywhere but costal towns

our server yumi was an absolute angel impeccable menu knowledge gave us great recommendations give this girl a raise she truly made our experience

absolutely suggest the wagyu carpaccio and  all the nigiri and sashimi we had slapppeddd

the unfiltered sake was so delicate and beautiful bushido sake is dangerously crushable",2024-09-26,4.7,Uchi Austin,"801 S Lamar Blvd, Austin, TX 78704, USA",0.9535,Positive
"lovely sushi place on south congress av huge selection of plates with innovative flavours staff was super helpful and nice trying to help us find the best dishes we tried a selection of different dishes
slightly pricey but definitely worth it",2024-07-18,4.7,Uchi Austin,"801 S Lamar Blvd, Austin, TX 78704, USA",0.9532,Positive
was looking for an impromptu brunch spot with my mom and sister and stumbled across this place superb highly recommend  our server soner was friendly funny and fast he engaged in conversation with us just enough  not pushy or rushed at all the food was excellent great variety of flavors we each ordered something different so we could try the most the atmosphere was bright with plenty of space between tables its casual enough that you can dress up or down we came casual but saw plenty of groups dressed up  celebrating oh and the staff does a cute light show with birthday shots ,2024-08-24,4.2,Taverna Austin,"258 W 2nd St, Austin, TX 78701, USA",0.9759,Positive
pretty good italian took a break from the mexican food lol we went about 7pm on a saturday and there was available seating in the cocktail lounge or outside the main dining area seemed to be for reservations i had the gluten free pasta and my bf had the pizza it looked good,2024-06-23,4.2,Taverna Austin,"258 W 2nd St, Austin, TX 78701, USA",0.9337,Positive
taverna the downtown austin location had great food and wine we went for a birthday celebration and went specifically for the cacio e pepe we started with the frittura mista di mare calamari shrimps vegetables spicy tomato aioli tartar sauce lemon then the cacio which is prepared tableside in a parmesan wheel and had to finish with dessert it was a great evening,2024-08-17,4.2,Taverna Austin,"258 W 2nd St, Austin, TX 78701, USA",0.8779,Positive
this is a fabulous italian restaurant the food and service were outstanding it was our daughters birthday and she absolutely loved it thanks for making it a special evening,2024-06-30,4.2,Taverna Austin,"258 W 2nd St, Austin, TX 78701, USA",0.9549,Positive
had a work lunch here and we all shared the meatballs al sugo as well as the squash zucchini chips and they were both delicious and plenty of food for a big group i had the gnocchi di patate rustici  gnocchi with braised short rib ragu and shaved parmesan and it was soooooo good absolutely delicious,2024-09-26,4.2,Taverna Austin,"258 W 2nd St, Austin, TX 78701, USA",0.93,Positive
amazing historic german beer garden the food here is of the highest quality we had the sausage flight and all the sausages were packed with flavour and the accompanying dips and sides were all top notch the sauerkraut balls and the potato pancakes with mushroom gravy were delicious as well reasonable prices and a great vibe in general highly recommended,2024-09-20,4.4,Scholz Garten,"1607 San Jacinto Blvd, Austin, TX 78701, USA",0.9485,Positive
"the food was amazing it was so filling and the price was right the service was amazing
im giving a 4 for atmosphere and overall a 4 because of the smoke inside the inside was so smokey from the cooking that we had to go outside and eat
i have pictured the smoked turkey sandwich it was so good the pretzel was huge and delicious",2024-08-11,4.4,Scholz Garten,"1607 San Jacinto Blvd, Austin, TX 78701, USA",0.9625,Positive
excellent servers and great food the sauerkraut balls are a must try appetizer and the schnitzel sammy and jgerschnitzel were pretty good as well and if you go on a day that the chocolate peanut butter pie is available you definitely need to try it great historical building and the fragrant bratwurst aromas add to a great cultural experience dining here,2024-06-27,4.4,Scholz Garten,"1607 San Jacinto Blvd, Austin, TX 78701, USA",0.9796,Positive
the food was spectacular and really quenched our cravings sauerkraut incredible we ordered the german plate and giant pretzel more than enough food for my wife and i they have so many good german beers to choose from and a wide variety of other beers too,2024-08-17,4.4,Scholz Garten,"1607 San Jacinto Blvd, Austin, TX 78701, USA",0.4902,Positive
the german sausage is bitten off and the pulp is not salty and the taste is not greasy it is really the best sausage i have ever had in my life,2024-07-28,4.4,Scholz Garten,"1607 San Jacinto Blvd, Austin, TX 78701, USA",0.6682,Positive
"definitely a must try pizza joint definitely ny style pizza thin crust crispy semolina flour
yummmm
classic cheese and veggie were very good with extra basil 
they have beer and wine
the place is busy
its a bit pricey but worth it",2024-09-08,4.7,Home Slice Pizza,"1415 S Congress Ave, Austin, TX 78704, USA",0.7308,Positive
really nice italian submarine sandwich ultrathinly sliced iceberg lettuce excellent bread with lots of delicately nutty crunchy toasted sesame seeds on top hot pickled cherry peppers are spot on ill ask for a little less mayo next time got a large sub cut in half which made for 2 nice full meals taking the other half home the large is a really huge sandwich just like its supposed to be other places like gratas pizzeria and a few others can run pretty small all in all homeslice has by far the best italian sub in south austin staff is super friendly and welcoming to everyone blair was awesome with all the right recommendations music and vibe are great parking all up and down the street patio out back looked great but its august so we stayed inside,2024-08-18,4.7,Home Slice Pizza,"1415 S Congress Ave, Austin, TX 78704, USA",0.9721,Positive
"its some of the best pizza ive had
i was in the are visiting my father im from colorado and while we were looking for a place to eat i decided to look up some of the best pizza spots in austin this place was only 4 minutes away from us and had excellent reviews
they really hit it out of the park for us pizza and salad were both insanely good im someone who likes to try new places every time but i cant help but feel that ill give in and return here next time im craving a great pizza
loved it",2024-05-02,4.7,Home Slice Pizza,"1415 S Congress Ave, Austin, TX 78704, USA",0.9414,Positive
home slice has vegan pizza now and it might be the best vegan pizza ive ever had  thank you  its about damn time loved them before i was vegan and i love them even more now i hope they will consider continuing to offer vegan pizza by the slice,2024-08-25,4.7,Home Slice Pizza,"1415 S Congress Ave, Austin, TX 78704, USA",0.9458,Positive
"recently tried the eggplant pizza at home slice pizza and it was a delightful experience

the pizza featured a rich red sauce that perfectly complemented the unique taste of the eggplant the flavors were wellbalanced and the ingredients tasted fresh and highquality the crust was just right  crispy on the outside and soft on the inside

overall it was a delicious and unique take on pizza that i thoroughly enjoyed highly recommended for anyone looking to try something different",2024-07-14,4.7,Home Slice Pizza,"1415 S Congress Ave, Austin, TX 78704, USA",0.9737,Positive
first time was so good i had to make sure to return before my i headed to the airport as i was leaving texas burgers were great fairly priced as well my group ended up ordering too many fries the first day the regular order of fries are huge in the picture you see the small size which is perfect for one person imo great place to sit down and eat and they have a nice bar area as well if youre in texas definitely pass by and check them out,2024-09-18,4.6,Hopdoddy Burger Bar,"1400 S Congress Ave Suite A190, Austin, TX 78704, USA",0.9817,Positive
first time going and it wasnt all that good got the burger fries and a shake the classic was over seasoned with pepper and pretty dry o got the egg added to mine and it was cooked so long it was rubbery and had to remove it to finish my burger the fries were also very tough and rubbery it literally broke my denture trying to bite a piece off the shake was luke warm and very runny the shake didnt taste bad just warm 40 for two people to eat and not very good food i wouldnt recommend going and we will not go again the ac was out at the same time and it was 89 degrees on the bldg so we ended up taking it to go,2024-07-08,4.6,Hopdoddy Burger Bar,"1400 S Congress Ave Suite A190, Austin, TX 78704, USA",-0.581,Negative
wow i really enjoyed this burger joint  the burgers were delicious and the truffle fries are a must try  you order and they will bring it to your table  definitely a hoppin place and the service was great,2024-07-19,4.6,Hopdoddy Burger Bar,"1400 S Congress Ave Suite A190, Austin, TX 78704, USA",0.9577,Positive
incredible burgers  they have gluten friendly options available and my wife said this was the best meal on our trip to austin   the service is a step above the rest and staff are so friendly  flavors are complex and the homemade condiments helped the skinny fries along,2024-06-12,4.6,Hopdoddy Burger Bar,"1400 S Congress Ave Suite A190, Austin, TX 78704, USA",0.891,Positive
"ive been here countless times and the food location and service are all excellent im addicted to the truffle fries 

the korean seoul was very good
the double bacon jam is my favorite ",2024-07-30,4.6,Hopdoddy Burger Bar,"1400 S Congress Ave Suite A190, Austin, TX 78704, USA",0.8718,Positive
yumso many exciting creative menu options almost everyone at our table chose the potato leek omelet in variations some vegan some not all delicious we all had different coffee specialities all were great staff all seemed attentive and friendly and knowledgeable great easy environment didnt feel rushed even though there were people waiting for tables great indoor and outdoor seating options two good size free parking lots would definitely eat here again one note so youre prepared theres a 20 surcharge added to your ticket as a one fair wage fee instead of in addition to your tip the staff as service was so good that i didnt mind the fee,2024-07-27,4.7,Bouldin Creek Cafe,"1900 S 1st St, Austin, TX 78704, USA",0.9889,Positive
finally went to bouldin creek cafe for lunch and it was great have some dietary restrictions this month and found the perfect option with the moroccan summer bowl friendly staff and great space inside and out some of the sandwiches sounded delicious so i will have to go back when i can have gluten,2024-08-24,4.7,Bouldin Creek Cafe,"1900 S 1st St, Austin, TX 78704, USA",0.9628,Positive
reuben sandwich at bouldin creek cafe was really yummy as was the salad i had so nice to find a place with nourishing food in austin the blueberry cornbread was also indeed worth it and delicious the staff are nice and helped my friend who got the jackfruit curry which was too spicy for her it was busy but we were able to get seated pretty soon overall i would recommend it and im really happy this place exists i appreciate the gluten free options as well,2024-04-23,4.7,Bouldin Creek Cafe,"1900 S 1st St, Austin, TX 78704, USA",0.9878,Positive
"great place with a fun vibe and amazing menu
service was a bit slow but the food was super super tasty
the dip was delicious austin fry was really good and the tarzan salad was yummy the portion size was great too
definitely recommend to vegans vegetarians",2024-03-31,4.7,Bouldin Creek Cafe,"1900 S 1st St, Austin, TX 78704, USA",0.9933,Positive
"the food and service were above any expectations amazing ambiance good music but not so loud you cant have a conversation
i am vegan and my fiance is an omnivore and we were both able to get breakfast including the obligatory breakfast taco that both tasted great and met our dietary preferences
i meant to take a picture of my food to show how amazing it looked but it ended up in my stomach way too quickly
an absolute 1010 gem",2024-09-21,4.7,Bouldin Creek Cafe,"1900 S 1st St, Austin, TX 78704, USA",0.9451,Positive
a great spot food was delicious we had the bacon cheeseburger tri tip butter lettuce salad and a side of mac n cheese anthony took great care of us at the bar bonus is the happy hour until 6p on the weekdays,2024-08-15,4.0,Parkside,"301 E 6th St, Austin, TX 78701, USA",0.9729,Positive
there wasnt a single thing on the menu from the 10 dishes tried that we didnt like each menu item was done quite well i really enjoyed the striped bass cod and chocolate dessert the most,2024-07-29,4.0,Parkside,"301 E 6th St, Austin, TX 78701, USA",0.6297,Positive
"update spring 2024 since reopening it isnt the same parkside the food has gone down in quality quite a bit in the past there were multiple oyster types now its just 1 i ordered a burger medium rare and it came out more than well done the chicken was stringy and dry the service was awkward and novice everything at parkside has declined since they reopened except for the prices i dont know if ill be back there are better options within blocks for the same money

good food great staff wish they had high chairs for kids",2024-04-30,4.0,Parkside,"301 E 6th St, Austin, TX 78701, USA",0.9301,Positive
we had parkside cater for our recent anniversary party celebration and the food and drinks were amazing our guests really enjoyed both the braised short rib and seared texas redfish entrees as well as the delicious passed appetizers to start the drinks were also excellent especially our speciality cocktail of sangria the staff was very attentive and professional as well highly recommend parkside for catering your next party,2023-11-28,4.0,Parkside,"301 E 6th St, Austin, TX 78701, USA",0.9781,Positive
the ownermanager shaun is a good person i was handing out waters on a 100 degree day and he gave me a coupon for drinks its good to see a business owner with integrity and ethic drinks were very good,2024-08-20,4.0,Parkside,"301 E 6th St, Austin, TX 78701, USA",0.8834,Positive
peppy and vibrant its an endearing tex mex food here is awesome we had veg fajita and a margarita sunny the cheerful lady who attended upon us was very helpful in making our choices for us do visit chuys you will love it,2024-06-03,4.4,Chuy's,"1728 Barton Springs Rd, Austin, TX 78704, USA",0.9686,Positive
