Review Text,standardized_date,cleaned_rating,Restaurant,Address,sentiment_score,sentiment
Ate dinner here the other night. Got the “Stubb’s Minor” plate with brisket and sausage. Brisket was a little cold and mostly fat. My server was very friendly and knowledgeable as well as the rest of the staff I interacted with. Wish the food was a little better but I’ll definitely try this place again!,2024-09-18,4,Stubb's Bar-B-Q,"801 Red River St, Austin, TX 78701, USA",0.8516,Positive
"Hey, so we stopped at Stubb's Bar-B-Q and it was totally worth it! The place has a really cool vibe. The restaurant and a small bar are on the first floor, and then downstairs they have a concert area and another bar. The staff was super friendly and quick with our orders. The food was amazing! We got the pulled pork sandwich with mac and cheese and fries on the side. The mac and cheese was bomb! We also ordered the three-meat sampler with brisket, pulled pork, and ribs. The ribs were my favorite! We also got some cornbread and fried okra, which were both really good. We'll definitely be going back!",2024-08-17,5,Stubb's Bar-B-Q,"801 Red River St, Austin, TX 78701, USA",0.9667,Positive
"I went for lunch alone, it was not crowded around 12pm but it was getting busier after 1230pm. I am not much a fan of red meat, take my review as a grain of salt. I ordered ribs, it was tender but a little bit salty to me (I usually eat plain); fried okra was good, not too dry. This place is good for family hangout, they have many big tables and great deal for a group. I heard they have evening show is hosted at basement. Everyone is friendly and attentive.",2024-03-30,4,Stubb's Bar-B-Q,"801 Red River St, Austin, TX 78701, USA",0.9494,Positive
"Parking was difficult to find along the road, and some guy came up to ask for money while we were unloading.  We had to wait about 20 mins downstairs for our table, which ended up fine because we were able to explore a couple of their music stages down there.  The service staff were friendly and the atmosphere felt historical or old in some way.  The food was good, though pricey, heavy and a bit greasy.  Not sure we'd come back next time around.",2024-04-18,4,Stubb's Bar-B-Q,"801 Red River St, Austin, TX 78701, USA",0.5327,Positive
The place is laid back almost like a time warp back to simpler times. Food is good but getting parking can be a bit of a hassle so plan accordingly. Staff is great and attentive. Ask for bathroom directions as you walk in and you won't get lost. They can just point it out to you. They are in the basement and you have to make many turns to get there.,2024-04-10,5,Stubb's Bar-B-Q,"801 Red River St, Austin, TX 78701, USA",0.8921,Positive
"Delicious food. Friendly service! Massive quantity. I finished a fourth of the plate. We had the pork chop, chicken & waffles, old fashioned, shrimp corn dogs, corn bread, popcorn. The food was amazing. There is an outside area with fans and mist for hot days.",2024-09-25,5,Moonshine Grill,"303 Red River St, Austin, TX 78701, USA",0.8999,Positive
"Loved the atmosphere as it was in an old house on a nondescript street in Austin, Texas. Service was great! Attentive but not over bearing. The food (I’d say the food vibe is elevated comfort food)was good but not delicious. My favorite thing was the free popcorn they bring to your table. Quite tasty! My cocktail, a Blind Mule, was quite yummy. I would go back, but I wouldn’t rush back.",2024-07-09,4,Moonshine Grill,"303 Red River St, Austin, TX 78701, USA",0.9082,Positive
"I was visiting Austin with my friend and we went here 3 times during our 4 day stay so it is safe to say that we thoroughly loved it here! The food, service, and atmosphere were all excellent. I loved the unique touch of having complimentary popcorn. During our visits we tried the hangar steak, rainbow trout, blackened catfish, pork ribs, and chicken almondine. Every dish was a hit! All of the staff were amazing, but especially Cassie who had excellent recommendations to really sell the menu. It was great to see the staff helping each other out and making the service so seamless. They also offered a complimentary dessert to celebrate my friend's birthday.",2024-08-15,5,Moonshine Grill,"303 Red River St, Austin, TX 78701, USA",0.9899,Positive
"Went for two different mixers, and the portions were huge. I got the pork ribs and it was a lot in a great way. The corn dog shrimp is genius. Sweet potato tots were great. Loved the key lime pie.",2024-08-12,5,Moonshine Grill,"303 Red River St, Austin, TX 78701, USA",0.9545,Positive
"We’ve been to their Avery location but never the original one downtown here. We are in the patio bar area, the guys there Charles and Sean were so nice! It was me and my husbands wedding anniversary, they made it such a pleasant experience, I had the rainbow trout and he had the pork chop. Super tasty! It was about a 25min wait upstairs so we just ate at the bar there. It’s in a historic building, gorgeous old features and hardwood floors. Would definitely recommend!",2024-08-13,5,Moonshine Grill,"303 Red River St, Austin, TX 78701, USA",0.9825,Positive
"Feel-good tunes and balanced mix of open air and air conditioned seating available. We came toward the end of the night and were seated inside right away. Happy hour is from 4:30 - 6:30 pm daily and can get busy. Our server, Tarah, was exceptional and recommended the daily special, which was from Spain and was the most lean and tender pork, seared to perfection. We tried some of their classics as well (deviled eggs, duck fat fries, biscuits) and weren’t disappointed. Cocktails were refreshing too, particularly “in to the wild,” similar to a cherry limeade, and the mocktail, veto mango fizz.
They do *not* offer a military discount. They have a parking lot and street parking. We’ll be back again and bringing friends!",2024-08-10,5,Salty Sow,"1917 Manor Rd, Austin, TX 78722, USA",0.923,Positive
"The appetizers were my favorite. I'm torn between the truffled deviled eggs and duck fat fries. The biscuit has the best airy butter too. For the main we got pork belly tips with cheese grits that had a great flavor. We sat outside with our dog and they were all so sweet to her.
And they had some great wine options too.",2024-08-31,5,Salty Sow,"1917 Manor Rd, Austin, TX 78722, USA",0.9491,Positive
Y'all this food is delicious! I've been going to Salty Sow for years and it never disappoints. Everything tastes so good and is consistently one of the best meals I've ever had in Austin. Tonight I got it delivered and was so impressed that the quality of the food held up. They even managed to still have decent presentation with sustainable packaging for delivery.,2024-07-23,5,Salty Sow,"1917 Manor Rd, Austin, TX 78722, USA",0.959,Positive
"The redfish is especially good, enough to justify a double serving! . Everything came with hearty portions and was very flavourful. The sides, especially the Brussels stood out. For starters the French fries and the chicken pate were excellent, and the main courses paired very well with the biscuits. The atmosphere was warm and welcoming, much like the food.",2024-08-16,5,Salty Sow,"1917 Manor Rd, Austin, TX 78722, USA",0.9421,Positive
"Salty Sow is a really nice place with a beautiful decor, that make you feel super relaxed. We went during happy hour, and it was crowded with people constantly coming in, which is a great sign. We didn't have to wait long to be seated, and once we were, the service was friendly and super quick.

Happy hour dishes were really tasty, though the portions were a bit small. Overall, it was a good experience!",2024-03-26,5,Salty Sow,"1917 Manor Rd, Austin, TX 78722, USA",0.989,Positive
"Violet Crown Cinema is an iconic and unique escape in downtown Austin, offering a clean and cozy atmosphere perfect for quality films. The incredibly friendly bartender crafted a solid spicy margarita, adding to the delightful experience. With good parking options and validation, convenience is a plus. While there’s always room for a bit more magic, it’s definitely a must-visit for film enthusiasts.",2024-07-20,4,Violet Crown Cinema,"434 W 2nd St, Austin, TX 78701, USA",0.9728,Positive
"It's been a while since I've been here, but I went last night. Good drink selection. Used to have better soft drinks. Now it's just Coke products. Boo. Pizza is new, and that's nice. Good theatre set-up. Very modern, but somewhat spartan. I'm okay with that. They show more interesting films than mainstream theatres.",2024-09-25,5,Violet Crown Cinema,"434 W 2nd St, Austin, TX 78701, USA",0.969,Positive
A cool and funky small theater in west downtown near a bunch of good restaurants. They tend to have a good selection of eclectic films and it is generally not busy during the day on weekdays. They provide 4 hours of free parking.,2024-08-28,4,Violet Crown Cinema,"434 W 2nd St, Austin, TX 78701, USA",0.875,Positive
"My favorite movie theater in town! Small theaters with comfortable seats, great staff, cocktails and lounge, limited kitchen. Great place to see arts movies and the latest releases in a cool environment on a hot day. Order tickets online, park free in garage. Always a treat.",2023-07-08,5,Violet Crown Cinema,"434 W 2nd St, Austin, TX 78701, USA",0.969,Positive
"Great venue for those interested in independent movies. An amazing modern and cozy environment, their food is great and have a good selection of wine, beer and cocktails. The only issue I have is that they don't bring food to your seat, you can only buy it beforehand and bring it in.",2022-09-17,5,Violet Crown Cinema,"434 W 2nd St, Austin, TX 78701, USA",0.9559,Positive
"This place has an authentic Austin feel, mix of western and modern. The staff is very friendly and professional. The food is all great, haven't had a dish I didn't like. We had the queso, hanger steak, and beef brisket. All very juicy and full of flavor. The drinks are good too - not a bunch of crushed ice, you actually get alcohol! They have live music upstairs.",2024-09-26,5,Lamberts,"401 W 2nd St, Austin, TX 78701, USA",0.9002,Positive
"I enjoyyyyedd so much going to Lamberts for my first meal in Austin. I found the place a little bit by chance and I was highly satisfied by the service. I was taken care of by Will. I loved his energy and professionalism. Food was also great: I had the 3 meats plate. It was heavy - as expected :) I also had an Old Fashion, that I liked very much. Would definitely recommend !",2024-08-28,5,Lamberts,"401 W 2nd St, Austin, TX 78701, USA",0.9812,Positive
"I loved Lamberts' lunch of brisket sandwich and cashew lime coleslaw. Each of the few ingredients of the sandwich are harmonies without seeming overwrought. Both their red and mustard sauces are an excellent compliment to their brisket without insisting on themselves.
After Lamberts it's fun to visit Toy Joy to shop, Joe's for coffee, or the riverside trail to walk off your meal.",2024-09-08,5,Lamberts,"401 W 2nd St, Austin, TX 78701, USA",0.9643,Positive
"Miami resident and HUGE BBQ fan. Also come to Austin often!!

Miami friends recommended and, boy, were they right!

Amazing brisket and Mac and cheese.

Highly recommend!",2024-09-17,5,Lamberts,"401 W 2nd St, Austin, TX 78701, USA",0.9516,Positive
"Lamberts is a great barbecue place if you are in the area. The crispy wild boar ribs we'r6e very flavorful and had somewhat of an Asian influence. I would definitely highly recommend this appetizer to start with. I had the two meat plate which I would say is good. The brisket was lean, meaty, and somewhat tender. If you're looking for extra moist brisket, this is not it. However, the flavor was good and the sides that I got were collard, greens and coleslaw. Both of these sides were not bad.

I really enjoyed that. The table came with three different sauces. My favorite probably was the mustard and then the hot and then the house. I saw some of my co-workers really lather their barbecue with the house sauce so that might say something about it. It was a little bit vinegary for me, however that's not a bad thing.

I would say that if you're in the area and craving BBQ, this is not a bad place to go. With me living up north I would not make a specific trip to come here as it would be a little bit out of my way.",2024-04-12,4,Lamberts,"401 W 2nd St, Austin, TX 78701, USA",0.972,Positive
"VIBE check and it’s perfect.. happy, eclectic, full house and the best salsa .. the food was good. I loved the service, they were kind enough to suggest great vegetarian options. The live music is scheduled few days a week and it’s must. Drink options are great especially margaritas..",2024-08-30,5,Güero's Taco Bar,"1412 S Congress Ave, Austin, TX 78704, USA",0.9805,Positive
"Very delicious food! The mole enchiladas were awesome!  Fajita salad was well served and delicious! Margarita's were tasty and the salsas were very good!! My favorite while in Austin!

The flautas are classics and delicious as well. So many delicious choices to choose from and never disappoints!

Can't wait to go back again for this special treat!",2024-06-15,5,Güero's Taco Bar,"1412 S Congress Ave, Austin, TX 78704, USA",0.9905,Positive
"This place was great. We read that sometimes people can wait hours for a table, but we were able to show up and get seated right away.

The free chips and assortment of salsa's was great as well as the meal itself oh and don't forget the Margarita!",2024-06-07,5,Güero's Taco Bar,"1412 S Congress Ave, Austin, TX 78704, USA",0.9558,Positive
"A charming destination for dinner offering a plethora of options, particularly for enthusiasts of Mexican cuisine. The staff is warm and welcoming, creating a delightful atmosphere. Our experience indulging in the flavorsome tacos and tamales left us thoroughly satisfied.",2024-03-31,4,Güero's Taco Bar,"1412 S Congress Ave, Austin, TX 78704, USA",0.9605,Positive
"Great service. Courteous and professional. Food hot and fast. Beer cold. Great vibes. The ""Girls"" from Deathproof would approve.",2024-09-27,5,Güero's Taco Bar,"1412 S Congress Ave, Austin, TX 78704, USA",0.91,Positive
"We knew about Uchi because it's supposed to be the best restaurant in Austin. A special occasion came up, so we visited on a Saturday night. I am pleased to report it blew us away. It's rare to have an eating experience unlike any you've had before. The dishes were perfectly prepared - particularly the sauces. What stood out most to me were the flavors: exquisitely crafted and balanced. I'm not a big raw fish fan, but I enjoyed everything I ate. The service was also quite good. We mentioned our special occasion and the server brought us a really good trout dish on the house. Complimentary valet parking was nice too. Definitely will be going back and couldn't be happier with our experience!",2024-09-29,5,Uchi Austin,"801 S Lamar Blvd, Austin, TX 78704, USA",0.9876,Positive
"Great interesting sushi and Japanese inspired dishes. Very flavorful, beautiful presentations. Excellent NA and alcoholic drinks. Our server Stephanie was a blast. Great date night.",2024-09-24,5,Uchi Austin,"801 S Lamar Blvd, Austin, TX 78704, USA",0.9719,Positive
"Always a complete pleasure eating here.   Service and atmosphere are as expected.   The food never disappoints.   My cold sake was creamy and refreshing.   The wagyu carpacio is delicious!!  I tried all three of the market selection and all 3 were amazing.   The grilled fish appetizer is stupid good,  with perfect texture and flavor.   The scallop bites are always super fresh and bright.  The tuna hand roll bursts with flavor.   The Cesar hand roll is so underrated,  so delicious.   I'll enjoy many more happy hours here",2024-08-31,5,Uchi Austin,"801 S Lamar Blvd, Austin, TX 78704, USA",0.9922,Positive
"I’m not from Austin and almost everyone I asked for restaurant recommendations suggested this place. I wasn’t really sure what to expect so I went for happy hour to catch the vibe. Ended up ordering maybe 15 dishes. Incredible quality. Don’t think I’ve had sashimi this good anywhere but costal towns.

Our server Yumi was an absolute angel. Impeccable menu knowledge. Gave us great recommendations. Give this girl a raise. She truly made our experience.

Absolutely suggest the wagyu carpaccio and  all the nigiri and sashimi we had SLAPPPEDDD.

The unfiltered sake was so delicate and beautiful. Bushido sake is dangerously crushable.",2024-09-26,5,Uchi Austin,"801 S Lamar Blvd, Austin, TX 78704, USA",0.962,Positive
"Lovely sushi place on South congress av. Huge selection of plates with innovative flavours. Staff was super helpful and nice trying to help us find the best dishes. We tried a selection of different dishes.
Slightly pricey but definitely worth it!",2024-07-18,5,Uchi Austin,"801 S Lamar Blvd, Austin, TX 78704, USA",0.9552,Positive
"Was looking for an impromptu brunch spot with my mom and sister and stumbled across this place. SUPERB!!! HIGHLY RECOMMEND!  Our server, Soner, was friendly, funny, and fast. He engaged in conversation with us just enough - not pushy or rushed at all. The food was excellent. Great variety of flavors (we each ordered something different so we could try the most). The atmosphere was bright with plenty of space between tables. It's casual enough that you can dress up or down. We came casual but saw plenty of groups dressed up & celebrating. Oh, and the staff does a cute light show with birthday shots. 😉",2024-08-24,5,Taverna Austin,"258 W 2nd St, Austin, TX 78701, USA",0.981,Positive
"Pretty good Italian! Took a break from the Mexican food, lol. We went about 7pm on a Saturday and there was available seating in the cocktail lounge or outside. The main dining area seemed to be for reservations. I had the gluten free pasta and my bf had the pizza, it looked good!",2024-06-23,5,Taverna Austin,"258 W 2nd St, Austin, TX 78701, USA",0.9401,Positive
"Taverna, the downtown Austin location, had great food and wine! We went for a birthday celebration and went specifically for the Cacio e Pepe. We started with the Frittura Mista Di Mare (calamari, shrimps, vegetables, spicy tomato aioli, tartar sauce, lemon), then the Cacio which is prepared tableside in a Parmesan wheel, and had to finish with dessert. It was a great evening!!",2024-08-17,5,Taverna Austin,"258 W 2nd St, Austin, TX 78701, USA",0.8996,Positive
This is a fabulous Italian restaurant! The food and service were outstanding. It was our daughter's birthday and she absolutely loved it. Thanks for making it a special evening!,2024-06-30,5,Taverna Austin,"258 W 2nd St, Austin, TX 78701, USA",0.9586,Positive
Had a work lunch here and we all shared the Meatballs Al Sugo as well as the Squash Zucchini Chips and they were both delicious and plenty of food for a big group. I had the Gnocchi Di Patate Rustici - gnocchi with braised short rib ragu and shaved parmesan and it was soooooo good. Absolutely delicious.,2024-09-26,4,Taverna Austin,"258 W 2nd St, Austin, TX 78701, USA",0.93,Positive
"Amazing Historic German Beer Garden! The food here is of the highest quality, we had the sausage Flight and all the sausages were packed with flavour, and the accompanying dips and sides were all top notch. The sauerkraut Balls, and the potato pancakes with mushroom gravy were delicious as well! Reasonable prices, and a great vibe in general, highly recommended!",2024-09-20,5,Scholz Garten,"1607 San Jacinto Blvd, Austin, TX 78701, USA",0.955,Positive
"The food was amazing it was so filling and the price was right!! The service was amazing!!
I'm giving a 4 for atmosphere and overall a 4 because of the smoke inside. The inside was so smokey from the cooking that we had to go outside and eat.
I have pictured the smoked turkey sandwich. It was so good. The pretzel was huge and delicious!",2024-08-11,4,Scholz Garten,"1607 San Jacinto Blvd, Austin, TX 78701, USA",0.9679,Positive
"Excellent servers, and great food! The Sauerkraut Balls are a must try appetizer, and the Schnitzel Sammy and Jägerschnitzel were pretty good as well. And if you go on a day that the Chocolate Peanut Butter Pie is available, you definitely need to try it! Great historical building, and the fragrant bratwurst aromas add to a great cultural experience dining here.",2024-06-27,5,Scholz Garten,"1607 San Jacinto Blvd, Austin, TX 78701, USA",0.9808,Positive
"The food was spectacular and really quenched our cravings! Sauerkraut incredible! We ordered the German Plate and Giant Pretzel! More than enough food for my wife and I. They have so many good German beers to choose from, and a wide variety of other beers too!",2024-08-17,5,Scholz Garten,"1607 San Jacinto Blvd, Austin, TX 78701, USA",0.6538,Positive
"The German sausage is bitten off, and the pulp is not salty, and the taste is not greasy. It is really the best sausage I have ever had in my life！",2024-07-28,5,Scholz Garten,"1607 San Jacinto Blvd, Austin, TX 78701, USA",0.6682,Positive
"Definitely a must try pizza joint! DEFINITELY NY STYLE PIZZA 🍕-thin crust, crispy, semolina flour.
Yummmm
Classic cheese and Veggie were very good with extra basil ❤️
They have beer and wine.
The place is busy.
It’s a bit pricey but worth it!",2024-09-08,5,Home Slice Pizza,"1415 S Congress Ave, Austin, TX 78704, USA",0.7962,Positive
"Really nice Italian Submarine Sandwich. Ultra-thinly sliced iceberg lettuce. Excellent bread with lots of delicately nutty crunchy toasted sesame seeds on top. Hot pickled cherry peppers are spot on. I’ll ask for a little less mayo next time. Got a large sub cut in half which made for 2 nice full meals, taking the other half home. The large is a really huge sandwich just like it’s supposed to be. Other places like Grata’s pizzeria and a few others can run pretty small. All in all HomeSlice has by far the best Italian Sub in South Austin. Staff is super friendly and welcoming to everyone. Blair was awesome with all the right recommendations. Music and vibe are great. Parking all up and down the street. Patio out back looked great, but it’s August so we stayed inside.",2024-08-18,5,Home Slice Pizza,"1415 S Congress Ave, Austin, TX 78704, USA",0.9748,Positive
"It's some of the best pizza I've had!
I was in the are visiting my father (I'm from Colorado), and while we were looking for a place to eat, I decided to look up some of the best pizza spots in Austin. This place was only 4 minutes away from us and had EXCELLENT reviews.
They really hit it out of the park for us! Pizza and salad were both insanely good! I'm someone who likes to try new places every time, but I can't help but feel that I'll give in and return here next time I'm craving a great pizza.
Loved it!",2024-05-02,5,Home Slice Pizza,"1415 S Congress Ave, Austin, TX 78704, USA",0.9684,Positive
HOME SLICE HAS VEGAN PIZZA NOW (AND IT MIGHT BE THE BEST VEGAN PIZZA IVE EVER HAD)!!! 🍕❤️ thank you & it’s about damn time. Loved them before I was vegan and I love them even more now. I hope they will consider continuing to offer vegan pizza by the slice!,2024-08-25,5,Home Slice Pizza,"1415 S Congress Ave, Austin, TX 78704, USA",0.9594,Positive
"recently tried the eggplant pizza at Home Slice Pizza, and it was a delightful experience!

The pizza featured a rich red sauce that perfectly complemented the unique taste of the eggplant. The flavors were well-balanced, and the ingredients tasted fresh and high-quality. The crust was just right – crispy on the outside and soft on the inside.

Overall, it was a delicious and unique take on pizza that I thoroughly enjoyed. Highly recommended for anyone looking to try something different!",2024-07-14,4,Home Slice Pizza,"1415 S Congress Ave, Austin, TX 78704, USA",0.9754,Positive
"First time was so good I had to make sure to return before my I headed to the airport as I was leaving Texas. Burgers were great! Fairly priced as well. My group ended up ordering too many fries the first day. The regular order of fries are HUGE. In the picture, you see the small size which is perfect for one person imo. Great place to sit down and eat and they have a nice bar area as well. If you're in Texas definitely pass by and check them out.",2024-09-18,5,Hopdoddy Burger Bar,"1400 S Congress Ave Suite A190, Austin, TX 78704, USA",0.9834,Positive
"First time going and it wasn’t all that good. Got the burger fries and a shake. The classic was over seasoned with pepper and pretty dry. O got the egg added to mine and it was cooked so long it was rubbery and had to remove it to finish my burger. The Fries were also very tough and rubbery, it literally broke my denture trying to bite a piece off. The shake was luke warm and very runny. The shake didn’t taste bad just warm. $40 for two people to eat and not very good food. I wouldn’t recommend going and we will not go again. The ac was out at the same time and it was 89 degrees on the bldg so we ended up taking it to go.",2024-07-08,3,Hopdoddy Burger Bar,"1400 S Congress Ave Suite A190, Austin, TX 78704, USA",0.4779,Positive
Wow I really enjoyed this burger joint.  The burgers were delicious and the truffle fries are a must try!  You order and they will bring it to your table.  Definitely a hoppin place and the service was great.,2024-07-19,5,Hopdoddy Burger Bar,"1400 S Congress Ave Suite A190, Austin, TX 78704, USA",0.9595,Positive
Incredible burgers.  They have gluten friendly options available and my wife said this was the best meal on our trip to Austin.   The service is a step above the rest and staff are so friendly.  Flavors are complex and the homemade condiments helped the skinny fries along.,2024-06-12,5,Hopdoddy Burger Bar,"1400 S Congress Ave Suite A190, Austin, TX 78704, USA",0.891,Positive
"I've been here countless times and the food, location and service are all excellent. I'm addicted to the truffle fries 😅

The Korean Seoul was very good.
The double bacon jam is my favorite 😁",2024-07-30,5,Hopdoddy Burger Bar,"1400 S Congress Ave Suite A190, Austin, TX 78704, USA",0.8718,Positive
"YUM!So many exciting creative menu options. Almost everyone at our table chose the potato leek omelet in variations. Some vegan, some not. All delicious. We all had different coffee specialities. All were great. Staff all seemed attentive and friendly and knowledgeable. Great easy environment. Didn’t feel rushed even though there were people waiting for tables. Great indoor and outdoor seating options. Two good size free parking lots. Would definitely eat here again. One note so you’re prepared: There’s a 20% surcharge added to your ticket as a one fair wage fee (instead of in addition to your tip). The staff as service was so good that I didn’t mind the fee.",2024-07-27,5,Bouldin Creek Cafe,"1900 S 1st St, Austin, TX 78704, USA",0.9891,Positive
Finally went to Bouldin Creek Cafe for lunch and it was great. Have some dietary restrictions this month and found the perfect option with the Moroccan summer bowl. Friendly staff and great space inside and out. Some of the sandwiches sounded delicious so I will have to go back when I can have gluten.,2024-08-24,5,Bouldin Creek Cafe,"1900 S 1st St, Austin, TX 78704, USA",0.9628,Positive
Reuben sandwich at Bouldin Creek Cafe was really yummy as was the salad I had! So nice to find a place with nourishing food in Austin. The blueberry cornbread was also indeed worth it and delicious. The staff are nice and helped my friend who got the jackfruit curry which was too spicy for her. It was busy but we were able to get seated pretty soon. Overall I would recommend it and I’m really happy this place exists. I appreciate the gluten free options as well.,2024-04-23,5,Bouldin Creek Cafe,"1900 S 1st St, Austin, TX 78704, USA",0.9876,Positive
"Great place with a fun vibe and amazing menu.
Service was a bit slow but the food was super super tasty.
The dip was delicious, Austin fry was really good and the Tarzan salad was yummy. The portion size was great too.
Definitely recommend to vegans/ vegetarians.",2024-03-31,5,Bouldin Creek Cafe,"1900 S 1st St, Austin, TX 78704, USA",0.9933,Positive
